"Claro, aquí tienes un plan estratégico de 12 meses enfocado en la modernización de la marca Osos de Montana para conectar con la audiencia juvenil universitaria."

### **Plan Estratégico de 12 Meses: Modernización Osos de Montana - Enfoque Moderno**

"**Estrategia Central:** ""La Guarida de Tu Universidad"". Posicionar al club como el punto de encuentro social para estudiantes, donde Monty es el anfitrión divertido y cercano que hace del béisbol una experiencia compartible y asequible."

---

### **Cronograma Mensual de Acciones - Enfoque Moderno**

| Mes | Acciones a Realizar | Tipo de Mensaje a Comunicar | Canales de Ejecución | Métricas de Éxito Clave |
| :--- | :--- | :--- | :--- | :--- |
"| **Enero** | Investigación digital: Análisis de tendencias en TikTok/Instagram Reels para entender el humor y formatos que viralizan entre universitarios. | ""Estamos escuchando. Pronto llegará una nueva era para los Osos."" | Social listening, encuestas en Stories, focus groups online con estudiantes. | - Volumen de insights obtenidos.<br>- Identificación de 3-5 formatos de contenido trending. |"
"| **Febrero** | ""Monty el Universitario"": Lanzar una serie de videos donde Monty ""se muda"" a una residencia universitaria y vive situaciones cómicas. | ""La universidad está en nuestra esencia. Monty es uno más de vosotros."" | TikTok Series, Instagram Reels, YouTube Shorts. | - Crecimiento del 15% en seguidores.<br>- >100K views por video. |"
"| **Marzo** | Lanzamiento exclusivo en redes del nuevo branding. ""Concurso de Diseño de Jersey Alternativo"" para estudiantes de diseño. | ""Este es nuestro nuevo look. ¿Te gusta? Hecho por y para los fans."" | Instagram Live, TikTok LIVE, Twitter Spaces. | - Engagement rate >8% en el lanzamiento.<br>- +50 diseños presentados. |"
"| **Abril** | Instauración de la ""Noche de Estudiantes"": entradas a $5 con ID universitario. Zona específica en el estadio con música y food trucks. | ""Los jueves son de estudiantes. Ven con tu squad y vive la experiencia Osos."" | TikTok, Instagram, carteles en universidades (UM, MSU), correos universitarios. | - Asistencia de 500+ estudiantes por noche. |"
"| **Mayo** | ""Monty's Takeover"": influencers estudiantiles locales ""toman"" las redes del equipo por un día mostrando el behind the scenes. | ""Una experiencia inside. Así se vive un día con los Osos."" | Instagram Stories Takeover, TikTok LIVE desde el vestuario. | - Alcance del 200% sobre el promedio durante el takeover. |"
"| **Junio** | Creación de un filtro de Instagram AR de Monty con el nuevo diseño: ""Monty's Summer Vibes"". |¿Qué haría Monty en verano? Usa el filtro y etiquétanos. | Instagram, TikTok Effect House, promoción en campus. | - +10,000 impresiones del filtro.<br>- +500 creaciones. |"
"| **Julio** | ""Torneo de Videojuegos MLB"" en el estadio antes del partido. Stream en Twitch con gamers locales. | ""Gaming y béisbol: la combinación perfecta. ¿Aceptas el reto?"" | Zona gaming en el estadio, Twitch, YouTube Gaming. | - +50 participantes presenciales.<br>- +500 espectadores en stream. |"
"| **Agosto** | ""Monty's Campus Tour"": Gira de Monty por campus universitarios con reparto de entradas descuento y merch. | ""Monty vuelve al campus. No te quedes sin tu entrada."" | Eventos presenciales en campus, cobertura en redes sociales. | - +2,000 emails captados.<br>- Alto tráfico en redes durante la gira. |"
"| **Septiembre** | ""Welcome Back Party"" en colaboración con asociaciones de estudiantes. Monty como DJ sorpresa. | ""La mejor fiesta de vuelta al cole es en la guarida."" | Evento en campus, Instagram Reels promocionales. | - Asistencia masiva al evento (>1,000 estudiantes). |"
"| **Octubre** | ""Abono de Estudiante"" para la próxima temporada: precio ultra-asequible con beneficios exclusivos. | ""Asegura tu diversión para toda la temporada. Por menos de lo que piensas."" | Email marketing universitario, TikTok Ads dirigidas. | - Ventas del 80% del aforo destinado a estudiantes. |"
"| **Noviembre** | Campaña ""Monty's Secret Santa"": sorteo de merch y experiencias entre estudiantes que interactúen en redes. | ""Quedarse en la ciudad para Navidad tiene premio. ¡Participa!"" | Instagram Stories, Twitter Raffles, TikTok videos. | - +5,000 interacciones en la campaña. |"
"| **Diciembre** | Edición de un video highlight de la temporada con música trendy, centrado en los momentos más sociales y divertidos. | ""Revive la fiesta de la temporada. Esto solo pasa en la guarida."" | YouTube, Instagram, TikTok. | - >100,000 visualizaciones en total. |"
